load_average_1m,init_to_stop_ms,ebpf_to_userspace_ms
7.930,1.101,0.056
7.370,1.017,0.054
7.370,0.988,0.055
6.860,0.953,0.056
6.860,1.024,0.053
6.390,1.008,0.058
6.390,0.888,0.053
6.390,1.003,0.053
5.960,1.009,0.052
5.960,1.021,0.052
5.560,1.005,0.052
5.560,1.015,0.055
5.560,0.992,0.052
5.200,0.986,0.053
5.200,0.983,0.056
4.860,1.018,0.055
4.860,0.981,0.056
4.860,1.022,0.055
4.550,0.938,0.056
4.550,1.069,0.056
4.270,0.964,0.055
4.270,0.993,0.065
4.010,1.006,0.055
4.010,0.884,0.051
4.010,0.987,0.054
3.770,1.001,0.055
3.770,1.050,0.056
3.540,0.992,0.050
3.540,0.993,0.051
3.540,0.955,0.050
3.340,1.224,0.055
3.340,0.977,0.054
3.150,0.980,0.054
3.150,0.960,0.050
2.980,0.970,0.051
2.980,1.007,0.052
2.980,0.989,0.052
2.820,0.967,0.052
2.820,0.929,0.053
2.670,0.989,0.054
2.670,0.959,0.054
2.670,0.980,0.052
2.540,0.821,0.051
2.540,0.969,0.053
2.420,0.980,0.052
2.420,0.976,0.052
2.420,0.980,0.054
2.300,0.974,0.051
2.300,0.978,0.051
2.200,0.716,0.051
2.200,0.925,0.057
2.100,0.970,0.050
2.100,0.992,0.049
2.100,0.971,0.049
2.010,0.960,0.048
2.010,0.979,0.050
1.930,0.947,0.047
1.930,0.973,0.052
1.930,1.028,0.051
1.940,0.989,0.051
1.940,0.984,0.054
2.020,0.984,0.053
2.020,0.978,0.049
2.020,0.968,0.052
1.940,0.960,0.051
1.940,0.938,0.049
1.870,0.940,0.051
1.870,0.836,0.052
1.800,0.925,0.050
1.800,0.920,0.052
1.800,0.942,0.053
1.730,0.926,0.051
1.730,0.922,0.052
1.670,0.988,0.052
1.670,0.910,0.049
1.670,1.231,0.053
1.620,0.977,0.050
1.620,0.948,0.054
1.570,0.974,0.054
1.570,0.975,0.052
1.570,0.966,0.052
1.520,0.978,0.050
1.520,0.983,0.054
1.480,1.017,0.052
1.480,0.952,0.050
1.440,0.980,0.052
1.440,0.988,0.053
1.440,0.969,0.052
1.410,0.973,0.052
1.410,1.084,0.062
1.370,0.946,0.053
1.370,0.997,0.053
1.370,0.975,0.054
1.340,0.992,0.054
1.340,0.975,0.051
1.320,0.961,0.052
1.320,0.968,0.050
1.320,0.937,0.050
1.290,0.992,0.051
1.290,0.985,0.051
1.270,0.932,0.047
1.270,0.989,0.051
1.250,0.968,0.053
1.250,0.982,0.054
1.250,0.957,0.053
1.230,0.784,0.052
1.230,0.976,0.050
1.210,1.001,0.051
1.210,0.969,0.051
1.210,0.964,0.050
1.190,0.967,0.051
1.190,0.939,0.051
1.170,0.987,0.071
1.170,0.969,0.049
1.160,0.783,0.052
1.160,1.009,0.053
1.160,0.994,0.050
1.150,0.959,0.052
1.150,1.015,0.054
1.140,1.025,0.053
1.140,1.024,0.050
1.140,1.296,0.053
1.120,1.013,0.053
1.120,0.997,0.053
1.110,0.972,0.055
1.110,0.961,0.052
1.110,0.942,0.052
1.100,0.875,0.053
1.100,1.274,0.054
1.100,0.984,0.052
1.100,0.975,0.053
1.090,0.972,0.051
1.090,0.967,0.049
1.160,0.978,0.053
1.160,0.978,0.052
1.160,0.954,0.050
1.150,0.948,0.050
1.150,1.297,0.052
1.140,0.964,0.053
1.140,0.974,0.052
1.140,0.977,0.052
1.120,0.996,0.053
1.120,0.962,0.038
1.190,0.993,0.053
1.190,0.982,0.053
1.190,1.031,0.054
1.260,0.896,0.054
1.260,1.020,0.058
1.320,1.040,0.056
1.320,1.055,0.056
1.370,1.039,0.057
1.370,0.826,0.053
1.370,1.053,0.062
1.420,0.966,0.058
1.420,0.951,0.057
1.470,1.007,0.056
1.470,0.982,0.056
1.470,0.802,0.056
1.510,0.992,0.055
1.510,0.986,0.056
1.550,1.016,0.057
1.550,1.078,0.056
1.550,1.020,0.057
1.590,1.091,0.059
1.590,1.067,0.057
1.620,1.008,0.057
1.620,1.021,0.058
1.650,1.031,0.056
1.650,0.922,0.057
1.650,0.984,0.056
1.680,0.989,0.055
1.680,0.971,0.053
1.790,0.814,0.058
1.790,0.796,0.057
1.790,0.830,0.058
1.880,0.853,0.065
1.880,0.866,0.057
1.970,1.095,0.058
1.970,0.810,0.058
1.970,0.836,0.057
2.060,0.937,0.066
2.060,0.847,0.057
2.130,0.855,0.057
2.130,0.845,0.059
2.200,1.142,0.059
2.200,0.988,0.060
2.200,0.844,0.056
2.270,0.860,0.056
2.270,0.945,0.061
2.320,0.968,0.063
2.320,0.953,0.063
2.320,0.964,0.062
2.380,0.954,0.061
2.380,0.919,0.062
2.430,0.918,0.062
2.430,0.944,0.063
2.430,0.958,0.062
2.470,0.957,0.063
2.470,0.968,0.063
2.520,1.008,0.060
2.520,0.955,0.062
2.640,1.025,0.065
2.640,1.020,0.063
2.640,1.020,0.062
2.750,1.087,0.077
2.750,1.043,0.071
2.850,1.080,0.069
2.850,1.049,0.073
2.850,1.051,0.071
2.940,1.111,0.074
2.940,1.087,0.075
3.020,1.551,0.078
3.020,1.073,0.073
3.100,1.058,0.076
3.100,1.099,0.069
3.100,1.108,0.066
3.170,1.046,0.074
3.170,1.092,0.076
3.240,1.085,0.073
3.240,1.028,0.065
3.240,1.052,0.065
3.300,1.023,0.065
3.300,1.071,0.067
3.440,1.018,0.066
3.440,1.017,0.065
3.440,1.021,0.065
3.480,1.090,0.068
3.480,1.102,0.074
3.530,1.044,0.067
3.530,1.023,0.065
3.640,1.094,0.067
3.640,1.080,0.066
3.640,1.134,0.064
3.750,1.091,0.075
3.750,1.071,0.072
3.850,1.071,0.072
3.850,1.071,0.072
3.850,1.079,0.074
3.940,1.130,0.076
3.940,1.100,0.076
4.030,1.086,0.066
4.030,1.071,0.067
4.110,1.062,0.070
4.110,1.070,0.067
4.110,1.128,0.068
4.180,1.073,0.068
4.180,1.142,0.066
4.250,1.044,0.065
4.250,1.060,0.074
4.250,1.078,0.068
4.310,1.073,0.074
4.310,1.107,0.065
4.440,1.153,0.074
4.440,1.057,0.067
4.490,1.059,0.064
4.490,1.036,0.069
4.490,1.110,0.076
4.530,1.101,0.076
4.530,1.084,0.067
4.650,1.181,0.078
4.650,1.138,0.081
4.650,1.126,0.074
4.750,1.107,0.073
4.750,1.095,0.069
4.850,1.100,0.075
4.850,1.159,0.072
4.850,1.126,0.069
4.950,1.202,0.072
4.950,1.101,0.070
5.030,1.136,0.076
5.030,1.140,0.071
5.110,1.211,0.074
5.110,1.141,0.070
5.110,1.130,0.075
5.180,1.086,0.070
5.180,1.126,0.069
5.250,1.216,0.071
5.250,1.122,0.070
5.250,1.121,0.076
5.310,1.097,0.066
5.310,1.168,0.070
5.360,1.088,0.068
5.360,1.113,0.068
5.360,1.118,0.068
5.410,1.099,0.067
5.410,1.136,0.070
5.460,1.083,0.068
5.460,1.121,0.069
5.580,1.164,0.074
5.580,1.111,0.071
5.580,1.157,0.073
5.700,1.124,0.070
5.700,1.180,0.076
5.800,1.223,0.076
5.800,1.134,0.073
5.800,1.125,0.069
5.900,1.168,0.076
5.900,1.172,0.077
5.990,1.163,0.076
5.990,1.111,0.071
6.070,1.156,0.073
6.070,1.173,0.071
6.070,1.149,0.063
6.140,1.174,0.076
6.140,1.198,0.072
6.210,1.168,0.073
6.210,1.170,0.073
6.210,1.157,0.077
6.280,1.159,0.071
6.280,1.148,0.075
6.330,1.157,0.072
6.330,1.160,0.075
6.330,1.189,0.076
6.390,1.109,0.070
6.390,1.168,0.076
6.440,1.168,0.072
6.440,1.196,0.073
6.560,24.337,0.078
6.560,22.229,0.079
6.560,23.127,0.077
6.680,20.741,0.081
6.680,22.707,0.077
6.780,14.697,0.079
6.780,22.742,0.073
6.880,14.497,0.076
6.880,22.558,0.076
6.880,11.136,0.077
6.970,15.205,0.078
6.970,14.107,0.076
7.050,22.449,0.078
7.050,22.762,0.073
7.130,23.469,0.074
7.130,23.247,0.075
7.130,22.517,0.074
7.200,22.392,0.076
7.200,18.157,0.075
7.260,21.284,0.117
7.260,22.160,0.079
7.320,21.561,0.078
7.320,22.208,0.075
7.320,15.691,0.077
7.380,17.992,0.079
7.380,14.751,0.077
7.510,21.897,0.078
7.510,22.461,0.075
7.630,22.815,0.077
7.630,21.521,0.102
7.630,17.952,0.100
7.740,37.579,15.405
7.740,22.451,0.077
7.840,18.116,0.079
7.840,26.043,3.347
7.930,14.720,0.076
7.930,24.851,0.079
7.930,22.228,0.078
8.020,22.570,0.077
8.020,17.348,0.075
8.100,29.218,7.343
8.100,13.923,0.079
8.100,13.872,0.081
8.170,22.193,0.087
8.170,24.443,0.085
8.240,22.677,0.078
8.240,14.088,0.082
8.300,14.094,0.079
8.300,13.869,0.078
8.300,13.740,0.079
8.350,22.227,0.075
8.350,14.491,0.079
8.490,14.154,0.115
8.490,17.787,0.077
8.530,18.900,0.079
8.530,23.180,0.079
8.530,0.915,0.051
7.930,0.907,0.051
7.930,0.951,0.050
7.370,0.701,0.051
7.370,0.933,0.052
6.860,0.950,0.051
6.860,0.944,0.049
6.860,0.979,0.049
6.390,0.956,0.048
6.390,0.936,0.047
5.960,0.932,0.048
5.960,0.942,0.047
5.960,0.939,0.052
5.560,0.950,0.052
5.560,0.976,0.048
5.200,0.966,0.051
5.200,0.946,0.051
5.200,0.965,0.050
4.860,0.936,0.049
4.860,0.975,0.051
4.550,0.946,0.050
4.550,0.913,0.051
4.270,0.947,0.050
4.270,0.949,0.050
4.270,0.999,0.050
4.000,0.954,0.050
4.000,0.821,0.051
3.760,0.973,0.050
3.760,0.950,0.051
3.760,0.921,0.057
3.540,0.960,0.049
3.540,0.829,0.048
3.340,0.918,0.049
3.340,1.004,0.051
3.340,0.954,0.049
3.150,0.968,0.049
3.150,0.783,0.048
2.980,0.914,0.049
2.980,0.971,0.052
2.820,0.957,0.050
2.820,0.895,0.049
2.820,0.905,0.051
2.670,0.970,0.048
2.670,0.972,0.046
2.540,0.866,0.055
2.540,0.947,0.051
2.540,0.851,0.052
2.410,0.936,0.050
2.410,1.007,0.048
2.300,1.020,0.052
2.300,0.968,0.052
2.300,0.896,0.053
2.200,0.892,0.051
2.200,0.918,0.050
2.100,0.922,0.046
2.100,0.942,0.052
2.010,0.942,0.051
2.010,0.947,0.052
2.010,0.835,0.053
1.930,0.958,0.052
1.930,0.940,0.051
1.860,0.940,0.051
1.860,0.901,0.052
1.860,0.905,0.051
1.790,0.920,0.050
1.790,0.897,0.050
1.720,0.956,0.050
1.720,0.893,0.049
1.720,0.716,0.052
1.670,0.920,0.049
1.670,0.955,0.052
1.610,0.940,0.050
1.610,0.939,0.050
1.560,0.971,0.053
1.560,0.937,0.046
1.560,0.941,0.047
1.520,0.963,0.045
1.520,0.783,0.048
1.480,0.971,0.064
1.480,0.927,0.048
1.480,0.937,0.050
1.440,0.958,0.048
1.440,0.950,0.045
1.480,0.992,0.046
1.480,0.931,0.048
1.480,0.924,0.048
1.440,0.939,0.049
1.440,0.948,0.052
1.410,0.935,0.050
1.410,0.944,0.050
1.380,0.805,0.047
1.380,0.951,0.048
1.380,0.945,0.051
1.350,0.970,0.049
1.350,0.713,0.048
1.320,0.987,0.061
1.320,0.947,0.047
1.320,0.944,0.049
1.290,0.936,0.051
1.290,0.948,0.048
1.270,0.964,0.049
1.270,0.958,0.049
1.270,1.209,0.048
1.250,0.926,0.047
1.250,0.953,0.048
1.230,0.890,0.044
1.230,0.947,0.046
1.210,0.973,0.052
1.210,0.955,0.051
1.210,0.948,0.062
1.190,0.803,0.048
1.190,0.939,0.048
1.180,0.920,0.048
1.180,0.917,0.046
1.180,0.981,0.046
1.160,0.898,0.046
1.160,0.919,0.048
1.150,0.932,0.051
1.150,0.930,0.048
1.140,0.956,0.048
1.140,0.966,0.051
1.140,0.965,0.051
1.120,0.920,0.048
1.120,0.915,0.051
1.110,0.927,0.047
1.110,0.938,0.050
1.110,0.747,0.050
1.100,0.968,0.050
1.100,0.951,0.050
1.100,1.072,0.049
1.100,0.964,0.049
1.100,0.944,0.049
1.090,0.949,0.050
1.090,0.905,0.049
1.080,0.929,0.048
1.080,0.942,0.049
1.070,0.949,0.051
1.070,0.943,0.049
1.070,0.945,0.050
1.070,1.065,0.050
1.070,0.955,0.052
1.060,0.950,0.052
1.060,0.962,0.051
1.060,0.929,0.053
1.060,0.978,0.052
1.060,1.007,0.060
1.130,0.997,0.061
1.130,1.116,0.060
1.130,0.979,0.061
1.200,0.818,0.062
1.200,1.067,0.066
1.270,1.055,0.061
1.270,1.038,0.061
1.330,1.051,0.061
1.330,0.976,0.052
1.330,0.993,0.061
1.380,1.034,0.061
1.380,1.042,0.061
1.430,0.981,0.062
1.430,1.033,0.060
1.430,1.006,0.061
1.470,1.094,0.065
1.470,1.047,0.065
1.520,1.061,0.064
1.520,1.184,0.065
1.520,1.082,0.064
1.560,1.039,0.062
1.560,1.033,0.064
1.590,1.039,0.064
1.590,1.101,0.063
1.620,1.062,0.065
1.620,1.086,0.064
1.620,1.086,0.063
1.660,1.125,0.064
1.660,0.975,0.059
1.760,1.059,0.060
1.760,1.177,0.067
1.760,1.030,0.061
1.860,1.025,0.061
1.860,1.051,0.069
1.950,1.034,0.059
1.950,1.082,0.058
2.040,1.030,0.061
2.040,0.992,0.062
2.040,0.950,0.059
2.110,1.073,0.061
2.110,0.961,0.061
2.190,0.917,0.060
2.190,1.128,0.061
2.190,0.984,0.060
2.250,1.025,0.059
2.250,0.965,0.059
2.310,0.930,0.059
2.310,0.934,0.061
2.310,0.937,0.061
2.370,0.951,0.061
2.370,0.995,0.062
2.420,1.063,0.063
2.420,1.177,0.067
2.540,1.226,0.067
2.540,1.073,0.073
2.540,1.275,0.069
2.740,1.247,0.075
2.740,1.237,0.066
2.920,1.163,0.066
2.920,1.217,0.068
2.920,1.234,0.079
3.170,1.240,0.067
3.170,1.171,0.067
3.320,1.312,0.077
3.320,1.210,0.079
3.320,1.284,0.082
3.450,1.107,0.067
3.450,1.146,0.067
3.580,1.154,0.075
3.580,1.173,0.065
3.690,1.129,0.065
3.690,1.077,0.063
3.690,1.122,0.068
3.790,1.077,0.066
3.790,1.213,0.076
3.890,1.114,0.067
3.890,1.108,0.066
3.890,1.149,0.066
3.980,1.119,0.068
3.980,1.174,0.064
4.060,1.094,0.067
4.060,1.095,0.066
4.140,1.114,0.067
4.140,1.141,0.067
4.140,1.087,0.066
4.210,1.140,0.075
4.210,1.180,0.075
4.350,1.158,0.069
4.350,1.166,0.077
4.350,1.187,0.078
4.480,1.184,0.077
4.480,1.146,0.076
4.600,1.507,0.079
4.600,1.179,0.073
4.600,1.299,0.076
4.800,1.216,0.073
4.800,1.173,0.070
4.890,1.141,0.068
4.890,1.177,0.069
4.980,1.172,0.068
4.980,1.209,0.068
4.980,1.238,0.070
5.060,1.166,0.068
5.060,1.247,0.071
5.140,1.173,0.069
5.140,1.145,0.066
5.140,1.184,0.077
5.210,1.180,0.080
5.210,1.205,0.071
5.270,1.170,0.073
5.270,1.130,0.067
5.330,1.204,0.075
5.330,1.182,0.069
5.330,1.169,0.068
5.460,1.157,0.068
5.460,1.189,0.076
5.590,1.315,0.079
5.590,1.394,0.076
5.590,1.284,0.071
5.700,1.199,0.076
5.700,1.314,0.078
5.810,1.216,0.076
5.810,1.295,0.075
5.810,1.281,0.071
5.900,1.290,0.075
5.900,1.197,0.073
6.070,1.262,0.062
6.070,1.288,0.077
6.140,1.285,0.072
6.140,1.186,0.072
6.140,1.191,0.075
6.210,1.277,0.073
6.210,1.284,0.077
6.280,1.211,0.078
6.280,1.185,0.076
6.280,1.204,0.076
6.330,1.274,0.069
6.330,1.207,0.073
6.390,1.188,0.073
6.390,1.246,0.073
6.440,1.352,0.076
6.440,1.237,0.073
6.440,1.197,0.072
6.480,1.182,0.070
6.480,25.244,0.077
6.680,13.993,0.081
6.680,23.721,0.077
6.680,22.897,0.084
6.870,15.472,0.081
6.870,14.822,0.079
6.960,18.605,0.078
6.960,21.306,0.080
7.040,29.974,0.081
7.040,13.699,0.080
7.040,19.597,0.079
7.120,17.949,0.076
7.120,14.828,0.079
7.190,22.839,0.078
7.190,21.849,0.081
7.260,21.096,0.080
7.260,21.473,0.077
7.260,21.549,0.080
7.400,22.422,0.078
7.400,22.121,0.079
7.440,22.062,0.082
7.440,21.935,0.080
7.490,26.081,0.081
7.490,24.711,0.079
7.490,14.704,0.078
7.530,22.032,0.078
7.530,18.288,0.101
7.570,17.690,0.104
7.570,21.769,0.086
7.680,20.162,0.081
7.680,18.266,0.080
7.680,25.121,7.249
7.790,32.088,0.085
7.790,21.817,0.104
7.890,25.194,0.105
7.890,23.629,0.084
7.970,33.694,11.306
7.970,22.343,3.218
7.970,22.024,0.084
8.060,21.695,0.099
8.060,14.876,0.084
8.130,22.756,0.117
8.130,23.168,0.099
8.200,22.568,0.082
8.200,21.969,0.081
8.200,32.824,11.382
8.270,22.461,0.076
8.270,22.677,0.100
8.330,22.227,0.076
8.330,29.927,11.251
8.380,22.374,0.079
8.380,14.343,0.114
8.380,22.213,0.079
8.350,22.227,0.073
8.350,22.200,0.113
8.320,22.329,0.076
8.320,22.378,0.081
8.380,21.609,0.082
8.380,19.057,3.754
8.380,22.433,0.080
8.430,21.988,0.081
8.430,22.746,0.081
8.470,17.873,0.079
8.470,24.483,0.117
8.520,14.045,0.078
8.520,14.455,0.083
8.520,42.269,19.349
8.550,21.404,0.082
8.550,23.340,0.077
8.590,20.829,0.077
8.590,22.601,0.083
8.620,14.643,0.113
8.620,14.556,0.083
8.620,23.323,0.079
8.650,21.472,0.080
8.650,22.628,0.074
8.680,22.016,0.080
8.680,15.258,0.077
8.710,22.619,0.084
8.710,22.739,0.080
8.710,25.149,3.364
8.730,25.565,3.356
8.730,21.913,0.079
8.750,16.432,0.076
8.750,1.039,0.078
8.130,0.932,0.069
8.130,0.955,0.069
8.130,0.880,0.067
7.560,0.906,0.064
7.560,1.015,0.055
7.040,0.992,0.056
7.040,1.293,0.053
7.040,1.003,0.054
6.550,1.026,0.053
6.550,1.007,0.053
6.110,1.017,0.057
6.110,1.017,0.053
5.700,1.004,0.057
5.700,0.995,0.054
5.700,0.998,0.054
5.320,1.026,0.054
5.320,0.959,0.055
4.970,0.937,0.054
4.970,0.991,0.051
4.970,0.971,0.055
4.660,0.993,0.053
4.660,0.939,0.051
4.360,0.952,0.048
4.360,1.291,0.049
4.360,0.986,0.052
4.090,0.996,0.048
4.090,1.003,0.052
3.850,1.022,0.053
3.850,0.889,0.053
3.620,0.980,0.053
3.620,0.952,0.052
3.620,1.048,0.051
3.410,0.970,0.052
3.410,0.922,0.053
3.220,1.010,0.054
3.220,0.956,0.053
3.220,0.956,0.053
3.040,0.828,0.051
3.040,0.933,0.053
2.870,0.983,0.052
2.870,0.992,0.054
2.870,0.967,0.054
2.720,1.281,0.054
2.720,0.978,0.053
2.590,0.947,0.054
2.590,1.207,0.052
2.460,0.983,0.054
2.460,0.759,0.054
2.460,0.957,0.053
2.340,0.970,0.053
2.340,0.976,0.052
2.230,0.949,0.052
2.230,0.969,0.055
2.230,0.873,0.052
2.130,0.993,0.054
2.130,0.938,0.051
2.040,0.967,0.054
2.040,0.979,0.055
2.040,0.977,0.055
1.960,1.004,0.052
1.960,0.889,0.050
1.880,0.975,0.053
1.880,0.766,0.053
1.810,0.992,0.054
1.810,0.990,0.055
1.810,0.969,0.049
1.750,0.992,0.053
1.750,0.991,0.050
1.690,0.964,0.050
1.690,0.969,0.050
1.690,0.973,0.050
1.630,0.850,0.051
1.630,0.998,0.051
1.580,0.958,0.053
1.580,0.978,0.050
1.580,1.005,0.050
1.530,0.984,0.052
1.530,0.977,0.054
1.490,0.988,0.051
1.490,0.979,0.050
1.450,0.968,0.050
1.450,0.984,0.053
1.450,0.978,0.049
1.410,0.956,0.051
1.410,0.953,0.049
1.380,1.005,0.050
1.380,0.973,0.049
1.380,0.923,0.053
1.350,1.021,0.053
1.350,0.898,0.051
1.320,0.988,0.051
1.320,0.982,0.052
1.300,0.876,0.054
1.300,0.969,0.048
1.300,1.327,0.048
1.270,0.976,0.051
1.270,1.271,0.047
1.250,0.934,0.048
1.250,0.904,0.050
1.250,0.985,0.050
1.230,0.976,0.051
1.230,0.931,0.051
1.210,0.975,0.052
1.210,0.910,0.051
1.210,0.955,0.049
1.190,0.974,0.050
1.190,0.977,0.052
1.180,0.978,0.053
1.180,0.986,0.053
1.160,0.990,0.054
1.160,0.982,0.053
1.160,0.994,0.053
1.150,0.991,0.055
1.150,0.980,0.054
1.140,0.914,0.053
1.140,0.776,0.053
1.140,0.917,0.053
1.130,0.973,0.053
1.130,0.922,0.054
1.120,0.969,0.054
1.120,0.991,0.054
1.120,0.967,0.054
1.110,0.975,0.054
1.110,1.002,0.054
1.100,0.992,0.053
1.100,0.988,0.054
1.090,0.941,0.055
1.090,0.977,0.054
1.090,0.979,0.053
1.080,0.865,0.053
1.080,0.966,0.054
1.080,0.966,0.054
1.080,0.971,0.053
1.080,0.969,0.055
1.070,0.984,0.054
1.070,0.952,0.054
1.060,1.098,0.054
1.060,0.928,0.054
1.060,0.935,0.054
1.220,0.929,0.053
1.220,0.961,0.054
1.200,0.974,0.053
1.200,0.966,0.052
1.180,0.914,0.050
1.180,0.969,0.055
1.180,0.976,0.054
1.170,1.010,0.054
1.170,0.962,0.051
1.160,0.868,0.051
1.160,0.953,0.051
1.160,0.989,0.052
1.140,0.964,0.047
1.140,0.981,0.047
1.130,0.987,0.048
1.130,1.212,0.047
1.120,0.974,0.050
1.120,0.925,0.048
1.120,0.960,0.046
1.110,0.949,0.051
1.110,0.990,0.048
1.100,0.906,0.049
1.100,0.833,0.047
1.100,0.976,0.050
1.090,0.971,0.050
1.090,0.988,0.052
1.090,0.968,0.048
1.090,0.976,0.047
1.090,0.980,0.050
1.080,0.971,0.049
1.080,0.986,0.049
1.070,0.990,0.048
1.070,0.814,0.055
1.070,0.968,0.048
1.070,0.973,0.049
1.070,1.250,0.053
1.060,0.952,0.048
1.060,0.964,0.050
1.060,0.977,0.051
1.060,0.972,0.051
1.060,0.967,0.054
1.050,0.958,0.050
1.050,0.971,0.051
1.050,0.971,0.051
1.050,0.960,0.053
1.050,0.965,0.050
1.040,0.981,0.051
1.040,0.985,0.051
1.040,1.265,0.052
1.040,0.973,0.054
1.040,0.987,0.051
1.040,0.970,0.050
1.040,0.948,0.045
1.030,0.992,0.049
1.030,1.002,0.050
1.030,0.959,0.049
1.030,0.955,0.048
1.030,0.966,0.049
1.110,0.964,0.049
1.110,0.952,0.046
1.100,0.966,0.048
1.100,0.953,0.048
1.100,0.971,0.045
1.090,0.866,0.052
1.090,0.974,0.053
1.080,0.966,0.053
1.080,0.976,0.051
1.080,0.915,0.053
1.080,1.003,0.053
1.080,0.931,0.054
1.070,0.972,0.050
1.070,0.808,0.050
1.060,0.973,0.049
1.060,0.952,0.047
1.060,0.956,0.050
1.060,0.981,0.050
1.060,0.963,0.049
1.050,1.269,0.048
1.050,0.978,0.048
1.050,0.974,0.049
1.050,0.964,0.046
1.050,0.977,0.048
1.050,0.966,0.047
1.050,0.966,0.049
1.040,0.968,0.049
1.040,0.961,0.048
